Frame,Index,angry,disgust,scared,happy,sad,surprised,neutral,pitch,roll,yaw,Mira A (Index),bb_x,bb_y,bb_width,bb_height,ID,Mira A (ID)
0,0,0.06059164181351662,0.004396361764520407,0.16367581486701965,0.10597638040781021,0.4378136396408081,0.009561656974256039,0.21798452734947205,52.578338623046875,-22.85643768310547,-9.353591918945312,,500.65496826171875,57.95844268798828,545.4927368164062,127.06478118896484,0.0,
0,1,0.1294911950826645,0.0011153409723192453,0.046344492584466934,0.027393488213419914,0.08499740809202194,0.010530165396630764,0.7001279592514038,-74.90902709960938,-2.25067138671875,-3.394561767578125,0,349.7049560546875,100.42568969726562,395.52142333984375,168.32342529296875,1.0,
1,0,0.03580131754279137,0.003362321062013507,0.1545180380344391,0.09908539056777954,0.43449097871780396,0.009203530848026276,0.2635384798049927,52.87744140625,-24.682151794433594,-11.488426208496094,,498.0091247558594,55.80332565307617,543.4901123046875,125.05691528320312,0.0,
1,1,0.15072019398212433,0.0019386677304282784,0.047513753175735474,0.060440484434366226,0.0876748189330101,0.011067824438214302,0.6406441926956177,-66.94481658935547,-6.109840393066406,-3.1904296875,,352.1795654296875,101.03851318359375,395.07562255859375,168.67816162109375,1.0,
2,0,0.02963048405945301,0.005718807689845562,0.14381639659404755,0.15303798019886017,0.26982131600379944,0.009703824296593666,0.38827118277549744,56.523651123046875,-31.214187622070312,-16.066131591796875,,497.8914489746094,54.183250427246094,541.5025634765625,124.33684539794922,0.0,
2,1,0.17336103320121765,0.003864588914439082,0.0374428816139698,0.08405611664056778,0.07681110501289368,0.0071051763370633125,0.6173591017723083,-67.32748413085938,-7.938667297363281,-3.191070556640625,,352.93280029296875,101.87025451660156,394.83978271484375,169.03819274902344,1.0,
3,0,0.04479292780160904,0.021420875564217567,0.13207700848579407,0.3436504304409027,0.1892252117395401,0.007706663105636835,0.26112687587738037,62.14064025878906,-31.109825134277344,-17.019187927246094,1,496.20166015625,54.24644470214844,540.937744140625,123.624267578125,0.0,1.0
3,1,0.1747540682554245,0.0043517425656318665,0.05711044371128082,0.09972653537988663,0.08000516891479492,0.0077134971506893635,0.576338529586792,-67.2841796875,-5.440040588378906,-9.067619323730469,,352.1823425292969,102.06097412109375,394.5088195800781,168.46722412109375,1.0,
4,0,0.07757417112588882,0.016240466386079788,0.1671467125415802,0.12914390861988068,0.3155164122581482,0.007002357393503189,0.28737595677375793,62.18048095703125,-32.8511962890625,-15.407989501953125,1,496.587890625,54.00242614746094,541.053955078125,124.48313903808594,0.0,1.0
4,1,0.17971143126487732,0.003917125519365072,0.0535905584692955,0.08453836292028427,0.09193035215139389,0.006927390582859516,0.5793848037719727,-66.15975952148438,-7.273406982421875,-9.322380065917969,,353.1615905761719,101.23008728027344,394.8619689941406,169.09117126464844,1.0,
5,0,0.08715589344501495,0.024541672319173813,0.18844082951545715,0.12838363647460938,0.3233095109462738,0.007122064009308815,0.24104642868041992,60.696868896484375,-24.82292938232422,-8.634445190429688,1,496.2966003417969,55.176177978515625,540.6053466796875,125.90229797363281,0.0,1.0
5,1,0.18826106190681458,0.0032883069943636656,0.06459170579910278,0.08105874061584473,0.10798485577106476,0.008372645825147629,0.5464427471160889,-64.13490295410156,-11.059364318847656,-8.99151611328125,,359.015380859375,103.83186340332031,397.3153076171875,170.0233612060547,1.0,
6,0,0.05920540913939476,0.023819981142878532,0.18171899020671844,0.18646451830863953,0.29757094383239746,0.004982949700206518,0.24623721837997437,58.375274658203125,-20.537353515625,-5.507659912109375,,495.00823974609375,55.87799835205078,538.9588012695312,125.40966033935547,0.0,
6,1,0.19444872438907623,0.005659135058522224,0.06823727488517761,0.10516250878572464,0.09718196094036102,0.013787616975605488,0.5155227780342102,-68.81963348388672,-12.71881103515625,-4.2857818603515625,,359.63885498046875,103.72169494628906,398.3648681640625,169.09812927246094,1.0,
7,0,0.08266568183898926,0.022537067532539368,0.1468278467655182,0.10043779015541077,0.29893818497657776,0.007292218040674925,0.3413012623786926,62.38775634765625,-19.501571655273438,-6.9863739013671875,1,494.4413146972656,55.381649017333984,538.4246215820312,124.31500244140625,0.0,1.0
7,1,0.16511406004428864,0.003108954755589366,0.05516970157623291,0.1467195600271225,0.09160122275352478,0.014536201022565365,0.523750364780426,-68.70316314697266,-14.065200805664062,-2.160369873046875,,361.3514709472656,105.157958984375,399.6565246582031,170.0255126953125,1.0,
8,0,0.08862921595573425,0.002628370188176632,0.15449723601341248,0.042478837072849274,0.41084858775138855,0.006985134910792112,0.29393261671066284,59.79426574707031,-17.040870666503906,-6.451812744140625,,491.88311767578125,54.41779708862305,535.5061645507812,127.13784790039062,0.0,
8,1,0.0925082117319107,0.007775243371725082,0.037213049829006195,0.24054990708827972,0.0777207687497139,0.008368673734366894,0.5358641147613525,-72.36905670166016,-13.727951049804688,-1.1218109130859375,,364.9779052734375,110.41776275634766,405.40960693359375,171.44683837890625,1.0,
9,0,0.09676675498485565,0.0027110367082059383,0.13739998638629913,0.04562157019972801,0.3700113296508789,0.006651158444583416,0.3408381938934326,58.54051208496094,-16.117652893066406,-6.377037048339844,,490.00408935546875,56.01782989501953,533.838134765625,127.4923324584961,0.0,
9,1,0.11214659363031387,0.0021760843228548765,0.059994205832481384,0.08365271985530853,0.15473949909210205,0.01547583844512701,0.5718150734901428,-69.65498352050781,-13.104896545410156,-2.2541046142578125,,371.2867126464844,104.89591979980469,409.6724548339844,169.42845153808594,1.0,
10,0,0.12574893236160278,0.007287341635674238,0.1608128547668457,0.09096193313598633,0.323544442653656,0.009842632338404655,0.28180190920829773,63.59532165527344,-20.73003387451172,-11.498458862304688,1,490.99969482421875,54.32793045043945,533.2899780273438,126.37942504882812,0.0,1.0
10,1,0.1160174012184143,0.0056258030235767365,0.07711781561374664,0.1426960825920105,0.1801230013370514,0.014322910457849503,0.46409693360328674,-76.57588195800781,-14.717674255371094,-0.719879150390625,,372.78009033203125,103.93356323242188,413.5986328125,170.6741943359375,1.0,
11,0,0.09453412890434265,0.007954346016049385,0.16801074147224426,0.048899486660957336,0.39494559168815613,0.01250208355486393,0.2731536030769348,65.30592346191406,-23.253921508789062,-11.963325500488281,1,488.22894287109375,54.91865539550781,531.9034423828125,125.86192321777344,0.0,1.0
11,1,0.13927793502807617,0.0034548905678093433,0.10519197583198547,0.08740530163049698,0.1863783299922943,0.023458657786250114,0.45483291149139404,-79.63306427001953,-15.281700134277344,1.13128662109375,,373.7162170410156,104.39588928222656,414.9367980957031,169.6903533935547,1.0,
12,0,0.0815446600317955,0.007481580134481192,0.1706303507089615,0.04543337970972061,0.3376869857311249,0.01753837987780571,0.3396846652030945,66.30447387695312,-26.32659912109375,-18.300521850585938,1,485.5491638183594,57.40541458129883,528.4757690429688,127.3846435546875,0.0,1.0
