Frame,Index,angry,disgust,scared,happy,sad,surprised,neutral,max_emotion,yaw,pitch,roll,Mira A (Index),bb_x_min,bb_y_min,bb_x_max,bb_y_max,ID,Mira A (ID)
0,0,0.06059164181351662,0.004396361764520407,0.16367581486701965,0.10597638040781021,0.4378136396408081,0.009561656974256039,0.21798452734947205,sad,52.578338623046875,-22.85643768310547,-9.353591918945312,1,500,57,545,127,Ross,6
0,1,0.1294911950826645,0.0011153409723192453,0.046344492584466934,0.027393488213419914,0.08499740809202194,0.010530165396630764,0.7001279592514038,neutral,-74.90902709960938,-2.25067138671875,-3.394561767578125,0,349,100,395,168,6,Ross
1,0,0.03580131754279137,0.003362321062013507,0.1545180380344391,0.09908539056777954,0.43449097871780396,0.009203530848026276,0.2635384798049927,sad,52.87744140625,-24.682151794433594,-11.488426208496094,1,498,55,543,125,Ross,7
1,1,0.15072019398212433,0.0019386677304282784,0.047513753175735474,0.060440484434366226,0.0876748189330101,0.011067824438214302,0.6406441926956177,neutral,-66.94481658935547,-6.109840393066406,-3.1904296875,0,352,101,395,168,7,Ross
2,0,0.02963048405945301,0.005718807689845562,0.14381639659404755,0.15303798019886017,0.26982131600379944,0.009703824296593666,0.38827118277549744,neutral,56.523651123046875,-31.214187622070312,-16.066131591796875,1,497,54,541,124,Ross,8
2,1,0.17336103320121765,0.003864588914439082,0.0374428816139698,0.08405611664056778,0.07681110501289368,0.0071051763370633125,0.6173591017723083,neutral,-67.32748413085938,-7.938667297363281,-3.191070556640625,0,352,101,394,169,8,Ross
3,0,0.04479292780160904,0.021420875564217567,0.13207700848579407,0.3436504304409027,0.1892252117395401,0.007706663105636835,0.26112687587738037,happy,62.14064025878906,-31.109825134277344,-17.019187927246094,1,496,54,540,123,Ross,9
3,1,0.1747540682554245,0.0043517425656318665,0.05711044371128082,0.09972653537988663,0.08000516891479492,0.0077134971506893635,0.576338529586792,neutral,-67.2841796875,-5.440040588378906,-9.067619323730469,0,352,102,394,168,9,Ross
4,0,0.07757417112588882,0.016240466386079788,0.1671467125415802,0.12914390861988068,0.3155164122581482,0.007002357393503189,0.28737595677375793,sad,62.18048095703125,-32.8511962890625,-15.407989501953125,1,496,54,541,124,Ross,10
4,1,0.17971143126487732,0.003917125519365072,0.0535905584692955,0.08453836292028427,0.09193035215139389,0.006927390582859516,0.5793848037719727,neutral,-66.15975952148438,-7.273406982421875,-9.322380065917969,0,353,101,394,169,10,Ross
5,0,0.08715589344501495,0.024541672319173813,0.18844082951545715,0.12838363647460938,0.3233095109462738,0.007122064009308815,0.24104642868041992,sad,60.696868896484375,-24.82292938232422,-8.634445190429688,1,496,55,540,125,Ross,11
5,1,0.18826106190681458,0.0032883069943636656,0.06459170579910278,0.08105874061584473,0.10798485577106476,0.008372645825147629,0.5464427471160889,neutral,-64.13490295410156,-11.059364318847656,-8.99151611328125,0,359,103,397,170,11,Ross
6,0,0.05920540913939476,0.023819981142878532,0.18171899020671844,0.18646451830863953,0.29757094383239746,0.004982949700206518,0.24623721837997437,sad,58.375274658203125,-20.537353515625,-5.507659912109375,1,495,55,538,125,Ross,12
6,1,0.19444872438907623,0.005659135058522224,0.06823727488517761,0.10516250878572464,0.09718196094036102,0.013787616975605488,0.5155227780342102,neutral,-68.81963348388672,-12.71881103515625,-4.2857818603515625,0,359,103,398,169,12,Ross
